aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
 ,성원대치2단지아파트,1992,개인, , ,"152,000",3,6,2026,중개거래,서울 강남구,33.18,5,12,N, ,11680,개인,개포동
 ,개포주공7단지,1983,개인, , ,"305,000",3,6,2026,중개거래,서울 강남구,60.76,3,185,N, ,11680,개인,개포동
 ,개포래미안포레스트,2020,개인, , ,"320,000",3,6,2026,중개거래,서울 강남구,84.86,11,1282,N, ,11680,개인,개포동
 ,래미안대치팰리스,2015,개인, , ,"440,000",3,6,2026,중개거래,서울 강남구,84.97,15,1027,N, ,11680,개인,대치동
 ,강남자곡 힐스테이트,2015,개인, , ,"154,000",2,6,2026,중개거래,서울 강남구,59.93,3,619,N, ,11680,개인,자곡동
 ,타워팰리스3,2004,개인, , ,"360,000",3,6,2026,중개거래,서울 강남구,124.641,30,467-29,N, ,11680,개인,도곡동
 ,까치마을,1993,개인, , ,"169,000",3,6,2026,중개거래,서울 강남구,39.6,12,746,N, ,11680,개인,수서동
 ,럭키(963),1995,개인, , ,"258,000",2,6,2026,중개거래,"서울 강남구, 서울 양천구",84.97,13,963,N, ,11680,개인,도곡동
 ,래미안삼성2차,2007,개인, , ,"310,000",2,6,2026,중개거래,서울 강남구,101.38,4,7-3,N, ,11680,개인,삼성동
 ,삼성동힐스테이트 1단지,2008,개인, , ,"270,000",2,6,2026,중개거래,서울 강남구,84.236,5,16-2,N, ,11680,개인,삼성동
214,성원대치2단지아파트,1992,개인, , ,"153,000",2,6,2026,중개거래,"서울 강남구, 서울 서초구",33.18,12,12,N,26.07.03,11680,개인,개포동
비,타워팰리스1,2002,개인, , ,"450,000",2,6,2026,직거래, ,174.67,13,467,N,26.06.02,11680,개인,도곡동
 ,청담대림이-편한세상,2002,개인, , ,"255,000",1,6,2026,중개거래,서울 강남구,81.84,8,30-33,N, ,11680,개인,청담동
 ,개포래미안포레스트,2020,개인, , ,"273,000",2,6,2026,중개거래,서울 강남구,59.92,12,1282,N, ,11680,개인,개포동
 ,삼익대청아파트,1992,개인, , ,"193,000",2,6,2026,중개거래,서울 강남구,51.12,13,12,N, ,11680,법인,개포동
 ,동부센트레빌,2005,개인, , ,"540,000",1,6,2026,중개거래,서울 강남구,145.83,16,670,N, ,11680,개인,대치동
 ,네오블로썸,2009,개인, , ,"150,000",1,6,2026,중개거래,서울 강남구,101.16,4,42-4,N, ,11680,개인,삼성동
웨스트윙,아이파크,2004,개인, , ,"665,000",1,6,2026,중개거래,서울 강남구,145.046,9,87,N,26.07.01,11680,개인,삼성동
 ,대치현대,1999,개인, , ,"242,000",1,6,2026,중개거래,서울 강남구,59.82,4,974,N, ,11680,개인,대치동
 ,신동아(22),1997,개인, , ,"210,000",1,6,2026,중개거래,서울 강남구,84.52,8,22,N, ,11680,개인,논현동
 ,개포우성3차,1984,개인, , ,"295,000",1,6,2026,중개거래,서울 강남구,104.43,1,652,N, ,11680,개인,개포동
