aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
 ,청담현대3차아파트,1999,개인, , ,"240,000",20,6,2026,중개거래,서울 강남구,59.95,9,127-31,N, ,11680,개인,청담동
 ,도곡렉슬,2006,개인, , ,"450,000",29,6,2026,중개거래,서울 강남구,120.8233,12,527,N, ,11680,법인,도곡동
 ,대우디오빌,2002,개인, , ,"30,500",23,6,2026,중개거래,서울 강남구,30.03,18,720-25,N, ,11680,개인,역삼동
 ,현대3차(61~64동),1976,개인, , ,"465,000",19,6,2026,중개거래,"서울 강남구, 서울 서초구",82.5,1,443,N, ,11680,개인,압구정동
 ,타워팰리스2,2003,개인, , ,"365,000",16,6,2026,중개거래,서울 강남구,115.63,4,467-17,N, ,11680,개인,도곡동
1,이지마루역삼,2018,개인, , ,"39,500",22,6,2026,중개거래,서울 강남구,26.5,7,678-27,N,26.07.16,11680,개인,역삼동
 ,개포주공7단지,1983,개인, , ,"298,000",20,6,2026,중개거래,서울 강남구,53.46,3,185,N, ,11680,개인,개포동
 ,삼성동중앙하이츠빌리지,2004,개인, , ,"435,000",12,6,2026,중개거래,서울 강남구,152.98,6,14-1,N, ,11680,개인,삼성동
 ,신동아,1992,개인, , ,"183,500",16,6,2026,중개거래,서울 강남구,39.53,14,736,N, ,11680,개인,수서동
 ,경남아너스빌,2002,개인, , ,"156,000",9,6,2026,직거래, ,81.013,10,722,N,26.07.13,11680,개인,역삼동
 ,이산,2011,개인, , ,"55,000",11,6,2026,중개거래,서울 서초구,57.18,2,194-22,N, ,11680,개인,논현동
 ,도곡우성아파트,1986,개인, , ,"270,000",22,6,2026,중개거래,서울 강남구,84.83,14,934-10,N, ,11680,개인,도곡동
 ,현대썬앤빌테헤란,2016,개인, , ,"49,200",26,6,2026,중개거래,서울 강남구,36.12,6,894,N, ,11680,개인,대치동
 ,현대썬앤빌테헤란,2016,개인, , ,"77,000",11,6,2026,중개거래,서울 강남구,49.24,7,894,N, ,11680,개인,대치동
 ,샘터마을,1994,개인, , ,"308,000",10,6,2026,중개거래,서울 강남구,115.366,3,718,N, ,11680,개인,일원동
